Date,Study,Semester,Program
9/24/2019,4,F19,BAPG
9/25/2019,3,F19,BAPG
9/26/2019,1,F19,BAPG
9/27/2019,3,F19,BAPG
9/28/2019,3,F19,BAPG
9/29/2019,5,F19,BAPG
9/30/2019,3,F19,BAPG
10/1/2019,1,F19,BAPG
10/2/2019,4,F19,BAPG
10/3/2019,2,F19,BAPG
10/4/2019,3,F19,BAPG
10/5/2019,5,F19,BAPG
10/6/2019,3,F19,BAPG
10/7/2019,2,F19,BAPG
10/8/2019,3,F19,BAPG
10/9/2019,3,F19,BAPG
10/10/2019,1,F19,BAPG
10/11/2019,1,F19,BAPG
10/12/2019,6,F19,BAPG
10/13/2019,7,F19,BAPG
10/14/2019,6,F19,BAPG
10/15/2019,1,F19,BAPG
10/16/2019,1,F19,BAPG
10/17/2019,2,F19,BAPG
10/18/2019,1,F19,BAPG
10/19/2019,3,F19,BAPG
10/20/2019,2,F19,BAPG
10/21/2019,4,F19,BAPG
10/22/2019,2,F19,BAPG
10/23/2019,3,F19,BAPG
10/24/2019,7,F19,BAPG
10/25/2019,1,F19,BAPG
10/26/2019,2,F19,BAPG
10/27/2019,1,F19,BAPG
10/28/2019,2,F19,BAPG
10/29/2019,6,F19,BAPG
10/30/2019,2,F19,BAPG
10/31/2019,3,F19,BAPG
1/7/2020,1,W20,BAPG
1/8/2020,2,W20,BAPG
1/9/2020,1,W20,BAPG
1/10/2020,1,W20,BAPG
1/11/2020,1,W20,BAPG
1/12/2020,2,W20,BAPG
1/13/2020,3,W20,BAPG
1/14/2020,2,W20,BAPG
1/15/2020,3,W20,BAPG
1/16/2020,1,W20,BAPG
1/17/2020,2,W20,BAPG
1/18/2020,3,W20,BAPG
1/19/2020,0,W20,BAPG
1/20/2020,0,W20,BAPG
1/21/2020,0,W20,BAPG
1/22/2020,0,W20,BAPG
1/23/2020,0,W20,BAPG
1/24/2020,0,W20,BAPG
1/25/2020,0,W20,BAPG
1/26/2020,1,W20,BAPG
1/27/2020,2,W20,BAPG
1/28/2020,1,W20,BAPG
1/29/2020,2,W20,BAPG
1/30/2020,6,W20,BAPG
1/31/2020,2,W20,BAPG
2/1/2020,3,W20,BAPG
2/2/2020,1,W20,BAPG
2/3/2020,2,W20,BAPG
2/4/2020,1,W20,BAPG
2/5/2020,2,W20,BAPG
2/6/2020,6,W20,BAPG
2/7/2020,2,W20,BAPG
9/10/2019,2,F19,BAPG
9/11/2019,5,F19,BAPG
9/12/2019,1,F19,BAPG
9/13/2019,3,F19,BAPG
9/14/2019,4,F19,BAPG
9/15/2019,3,F19,BAPG
9/16/2019,4,F19,BAPG
9/17/2019,3.3,F19,BAPG
9/18/2019,3,F19,BAPG
9/19/2019,3,F19,BAPG
9/20/2019,1,F19,BAPG
9/21/2019,3,F19,BAPG
9/22/2019,5,F19,BAPG
9/23/2019,2,F19,BAPG
9/24/2019,4,F19,BAPG
9/25/2019,2,F19,BAPG
9/26/2019,3,F19,BAPG
